,Quarter,Tm,Detail,OAK,MIA
0,1.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),7,0
1,2.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),14,0
2,2.0,Raiders,George Blanda 25 yard field goal,17,0
3,2.0,Dolphins,Mercury Morris 4 yard rush (Garo Yepremian kick),17,7
4,3.0,Raiders,Mark van Eeghen 1 yard rush (George Blanda kick),24,7
5,4.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),24,14
6,4.0,Raiders,Harold Hart 102 yard kickoff return (George Blanda kick),31,14
7,4.0,Dolphins,Mercury Morris 1 yard rush (Garo Yepremian kick),31,21
