,Quarter,Tm,Detail,PHO,SFO
0,2.0,49ers,Marc Logan 1 yard rush (Mike Cofer kick),0,7
1,2.0,49ers,Jerry Rice 8 yard pass from Steve Young (Mike Cofer kick),0,14
2,4.0,49ers,Jerry Rice 7 yard pass from Steve Young (Mike Cofer kick),0,21
3,4.0,49ers,Ricky Watters 19 yard rush (Mike Cofer kick),0,28
4,4.0,Cardinals,Anthony Edwards 65 yard pass from Steve Beuerlein (Greg Davis kick),7,28
5,4.0,Cardinals,Ricky Proehl 4 yard pass from Steve Beuerlein (Greg Davis kick),14,28
