,Quarter,Tm,Detail,CRD,GNB
0,1,Cardinals,George Grosvenor 13 yard rush (Bill Smith kick),7,0
1,2,Packers,Clarke Hinkle 4 yard rush,7,7
2,3,Cardinals,Bill Smith 25 yard fumble return (Bill Smith kick),14,7
