,Quarter,Time,Tm,Detail,NOR,CIN
0,1.0,,Bengals,Doug Pelfrey 33 yard field goal,0,3
1,1.0,,Saints,Doug Brien 51 yard field goal,3,3
2,2.0,,Bengals,Darnay Scott 24 yard pass from Jeff Blake (Doug Pelfrey kick),3,10
3,2.0,,Saints,Doug Brien 37 yard field goal,6,10
4,2.0,,Bengals,Ki-Jana Carter 31 yard rush (Doug Pelfrey kick),6,17
5,3.0,,Saints,Ray Zellars 3 yard rush (pass failed),12,17
6,3.0,,Bengals,Doug Pelfrey 21 yard field goal,12,20
7,4.0,,Bengals,Doug Pelfrey 35 yard field goal,12,23
8,4.0,,Saints,Doug Brien 25 yard field goal,15,23
9,4.0,,Bengals,Eric Bieniemy 5 yard rush (Doug Pelfrey kick),15,30
