,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Mark Duper 29 yard pass from Don Strock (Uwe von Schamann kick),0,7
1,1.0,Jets,Freeman McNeil 20 yard pass from Richard Todd (Pat Leahy kick),7,7
2,2.0,Dolphins,David Overstreet 2 yard pass from Don Strock (Uwe von Schamann kick),7,14
3,3.0,Jets,Marion Barber Jr. 5 yard pass from Freeman McNeil (Pat Ryan run),14,14
4,3.0,Dolphins,Uwe von Schamann 49 yard field goal,14,17
5,4.0,Dolphins,Uwe von Schamann 20 yard field goal,14,20
6,4.0,Dolphins,Mike Kozlowski 35 yard interception return (Uwe von Schamann kick),14,27
7,4.0,Dolphins,Mike Kozlowski 38 yard interception return (Uwe von Schamann kick),14,34
