,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,John Cappelletti 1 yard rush (Frank Corral kick),0,7
1,2.0,Cowboys,Billy Joe DuPree 14 yard pass from Roger Staubach (Rafael Septien kick),7,7
2,2.0,Rams,Ron Jessie 21 yard pass from Pat Haden (Frank Corral kick),7,14
3,4.0,Cowboys,Tony Hill 18 yard pass from Roger Staubach (Rafael Septien kick),14,14
4,4.0,Rams,Willie Miller 43 yard pass from Pat Haden,14,20
5,4.0,Rams,Rod Perry 43 yard interception return (Frank Corral kick),14,27
