,Quarter,Tm,Detail,MIN,SFO
0,1.0,Vikings,Rich Karlis 38 yard field goal,3,0
1,1.0,49ers,Jerry Rice 72 yard pass from Joe Montana (Mike Cofer kick),3,7
2,2.0,49ers,Brent Jones 8 yard pass from Joe Montana (Mike Cofer kick),3,14
3,2.0,49ers,John Taylor 8 yard pass from Joe Montana,3,20
4,2.0,49ers,Jerry Rice 13 yard pass from Joe Montana (Mike Cofer kick),3,27
5,3.0,Vikings,Rich Karlis 44 yard field goal,6,27
6,4.0,49ers,Ronnie Lott 58 yard interception return (Mike Cofer kick),6,34
7,4.0,49ers,Roger Craig 4 yard rush (Mike Cofer kick),6,41
8,4.0,Vikings,Rick Fenney 3 yard rush (Rich Karlis kick),13,41
