,Quarter,Tm,Detail,KAN,SDG
0,1,Chiefs,Steve Fuller 4 yard rush (Nick Lowery kick),7,0
1,2,Chargers,Mike Thomas 4 yard rush,7,6
2,3,Chargers,Mike Thomas 7 yard rush (Rolf Benirschke kick),7,13
3,4,Chargers,Clarence Williams 8 yard rush (Rolf Benirschke kick),7,20
