,Quarter,Time,Tm,Detail,SFO,TAM
0,1.0,11:12,49ers,Robbie Gould 29 yard field goal,3,0
1,2.0,8:47,Buccaneers,Vernon Hargreaves III 15 yard interception return (Matt Gay kick),3,7
2,2.0,2:59,49ers,Robbie Gould 36 yard field goal,6,7
3,3.0,12:38,49ers,Richie James 39 yard pass from Jimmy Garoppolo (Robbie Gould kick),13,7
4,3.0,11:53,49ers,Richard Sherman 31 yard interception return (Robbie Gould kick),20,7
5,3.0,5:50,Buccaneers,Chris Godwin 10 yard pass from Jameis Winston (Matt Gay kick),20,14
6,4.0,4:51,Buccaneers,Matt Gay 31 yard field goal,20,17
7,4.0,2:21,49ers,Robbie Gould 47 yard field goal,23,17
8,4.0,2:10,49ers,Ahkello Witherspoon 25 yard interception return (Deebo Samuel pass from Jimmy Garoppolo),31,17
