,Quarter,Tm,Detail,DAL,PIT
0,1.0,Steelers,Mike Clark 36 yard field goal,0,3
1,1.0,Cowboys,Dick Van Raaphorst 16 yard field goal,3,3
2,2.0,Steelers,Gary Ballman 32 yard pass from Ed Brown,3,9
3,2.0,Cowboys,Frank Clarke 7 yard pass from Don Meredith (Dick Van Raaphorst kick),10,9
4,3.0,Steelers,Jim Kelly 21 yard pass from Ed Brown (Mike Clark kick),10,16
5,3.0,Steelers,Phil King 4 yard pass from Ed Brown (Mike Clark kick),10,23
6,4.0,Cowboys,Don Meredith 2 yard rush (Dick Van Raaphorst kick),17,23
