,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,8:21,Cardinals,Chase Edmonds 20 yard rush (Zane Gonzalez kick),7,0
1,1.0,4:22,Cardinals,Chase Edmonds 20 yard rush (Zane Gonzalez kick),14,0
2,2.0,13:34,Cardinals,Zane Gonzalez 47 yard field goal,17,0
3,2.0,11:36,Giants,Rhett Ellison 28 yard pass from Daniel Jones (Aldrick Rosas kick),17,7
4,2.0,9:59,Giants,Elijhaa Penny blocked punt recovery in end zone (Aldrick Rosas kick),17,14
5,3.0,6:11,Cardinals,Chase Edmonds 22 yard rush (Zane Gonzalez kick),24,14
6,4.0,8:19,Giants,Saquon Barkley 7 yard rush (Aldrick Rosas kick),24,21
7,4.0,2:13,Cardinals,Zane Gonzalez 35 yard field goal,27,21
