,Quarter,Tm,Detail,HRT,FRN
0,1,Yellow Jackets,Doc Bruder 35 yard punt return,0,6
1,2,Yellow Jackets,Wooky Roberts 51 yard pass from Hust Stockton (Johnny Budd kick),0,13
