,Quarter,Time,Tm,Detail,HOU,MIN
0,1.0,12:48,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),0,7
1,1.0,8:38,Texans,Jacques Reeves 44 yard interception return (Kris Brown kick),7,7
2,2.0,14:07,Vikings,Sidney Rice 8 yard pass from Gus Frerotte (Ryan Longwell kick),7,14
3,2.0,6:09,Vikings,Bernard Berrian 49 yard pass from Gus Frerotte (Ryan Longwell kick),7,21
4,3.0,9:28,Texans,David Anderson 3 yard pass from Sage Rosenfels (Kris Brown kick),14,21
5,4.0,6:26,Vikings,Visanthe Shiancoe 25 yard pass from Gus Frerotte (Ryan Longwell kick),14,28
6,4.0,2:58,Texans,Andre Johnson 14 yard pass from Sage Rosenfels (Kris Brown kick),21,28
