,Quarter,Time,Tm,Detail,KAN,IND
0,1.0,10:04,Colts,Adam Vinatieri 20 yard field goal,0,3
1,2.0,9:14,Colts,Adam Vinatieri 24 yard field goal,0,6
2,2.0,0:02,Chiefs,Ryan Succop 45 yard field goal,3,6
3,3.0,8:31,Colts,Adam Vinatieri 47 yard field goal,3,9
4,3.0,4:35,Chiefs,Ryan Succop 35 yard field goal,6,9
5,3.0,3:26,Chiefs,Ryan Succop 43 yard field goal,9,9
6,4.0,14:40,Colts,Adam Vinatieri 42 yard field goal,9,12
7,4.0,4:02,Colts,Mike Hart 11 yard rush (Adam Vinatieri kick),9,19
