,Quarter,Tm,Detail,STL,ATL
0,1.0,Cardinals,Troy Johnson 49 yard pass from Neil Lomax (Jim Gallery kick),7,0
1,1.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),7,7
2,1.0,Cardinals,Robert Awalt 25 yard pass from Neil Lomax (Jim Gallery kick),14,7
3,2.0,Cardinals,Earl Ferrell 1 yard rush (Jim Gallery kick),21,7
4,2.0,Falcons,Aubrey Matthews 25 yard pass from Scott Campbell (Mick Luckhurst kick),21,14
5,2.0,Cardinals,Jim Gallery 29 yard field goal,24,14
6,3.0,Cardinals,Jim Gallery 29 yard field goal,27,14
7,3.0,Cardinals,Earl Ferrell 1 yard rush (Jim Gallery kick),34,14
8,4.0,Falcons,Aubrey Matthews 4 yard pass from Scott Campbell (Mick Luckhurst kick),34,21
