,Quarter,Tm,Detail,MIA,DAL
0,1.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,0
1,1.0,Dolphins,Paul Warfield 45 yard pass from Bob Griese (Garo Yepremian kick),14,0
2,4.0,Cowboys,Walt Garrison 1 yard rush (Toni Fritsch kick),14,7
