,Quarter,Tm,Detail,OOR,CAN
0,1.0,Bulldogs,Doc Elliott unknown yard rush (Pete Henry kick),0,7
1,2.0,Bulldogs,Ben Jones unknown yard rush,0,13
2,3.0,Bulldogs,Link Lyman 40 yard pass from Lou Smyth (Pete Henry kick),0,20
3,3.0,Bulldogs,Ben Jones 6 yard rush (Pete Henry kick),0,27
4,3.0,Bulldogs,Guy Chamberlin unknown yard pass from Lou Smyth (Pete Henry kick),0,34
5,4.0,Bulldogs,Dutch Hendrian unknown yard rush (Pete Henry kick),0,41
