,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Tony Franklin 19 yard field goal,0,3
1,2.0,Jets,Pat Leahy 53 yard field goal,3,3
2,2.0,Patriots,Tony Franklin 44 yard field goal,3,6
3,3.0,Jets,Pat Leahy 52 yard field goal,6,6
4,4.0,Patriots,Irving Fryar 36 yard pass from Steve Grogan (Tony Franklin kick),6,13
5,4.0,Jets,Tony Paige 2 yard rush (Pat Leahy kick),13,13
6,4.0,Patriots,Steve Grogan 3 yard rush (Tony Franklin kick),13,20
