,Quarter,Tm,Detail,RAI,NYJ
0,3.0,Raiders,Mervyn Fernandez 73 yard pass from Jay Schroeder (Jeff Jaeger kick),7,0
1,3.0,Jets,Roger Vick 1 yard rush (Pat Leahy kick),7,7
2,4.0,Raiders,Eddie Anderson 87 yard interception return (Jeff Jaeger kick),14,7
