,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,,Patriots,Matt Bahr 33 yard field goal,3,0
1,1.0,,Bills,Nate Turner 26 yard pass from Frank Reich (Steve Christie kick),3,7
2,1.0,,Bills,Steve Christie 24 yard field goal,3,10
3,2.0,,Bills,Carwell Gardner 3 yard rush (Steve Christie kick),3,17
4,2.0,,Patriots,Ben Coates 4 yard pass from Drew Bledsoe (Matt Bahr kick),10,17
5,2.0,,Patriots,Vincent Brisby 7 yard pass from Drew Bledsoe (Matt Bahr kick),17,17
6,3.0,,Patriots,Ricky Reynolds 25 yard defensive fumble return (Matt Bahr kick),24,17
7,3.0,,Patriots,Vincent Brisby 6 yard pass from Drew Bledsoe (Matt Bahr kick),31,17
8,4.0,,Patriots,Marion Butts 1 yard rush (Matt Bahr kick),38,17
9,4.0,,Patriots,Matt Bahr 20 yard field goal,41,17
