,Quarter,Tm,Detail,KAN,NYG
0,2.0,Chiefs,Stephone Paige 26 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,2.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),7,7
2,2.0,Chiefs,Nick Lowery 41 yard field goal,10,7
3,2.0,Chiefs,Willie Scott 8 yard pass from Bill Kenney (Nick Lowery kick),17,7
4,3.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),17,14
5,4.0,Chiefs,Nick Lowery 52 yard field goal,20,14
6,4.0,Chiefs,Carlos Carson 34 yard pass from Bill Kenney (Nick Lowery kick),27,14
7,4.0,Giants,Bobby Johnson 22 yard pass from Phil Simms (Ali Haji-Sheikh kick),27,21
8,4.0,Giants,Zeke Mowatt 3 yard pass from Phil Simms (Ali Haji-Sheikh kick),27,28
