,Quarter,Tm,Detail,NYG,NOR
0,2.0,Saints,Chuck Muncie 10 yard rush (Garo Yepremian kick),0,7
1,2.0,Saints,Garo Yepremian 38 yard field goal,0,10
2,3.0,Saints,Ike Harris 24 yard pass from Archie Manning (Garo Yepremian kick),0,17
3,3.0,Giants,Billy Taylor 5 yard rush (Joe Danelo kick),7,17
4,4.0,Giants,Ken Johnson 11 yard pass from Phil Simms (Joe Danelo kick),14,17
5,4.0,Saints,Chuck Muncie 3 yard rush (Garo Yepremian kick),14,24
