,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Boobie Clark 2 yard rush,6,0
1,1.0,Browns,Don Cockroft 27 yard field goal,6,3
2,1.0,Bengals,Lenvil Elliott 28 yard pass from Ken Anderson (Horst Muhlmann kick),13,3
3,2.0,Bengals,Charlie Joiner 65 yard pass from Ken Anderson (Horst Muhlmann kick),20,3
4,2.0,Browns,Milt Morin 9 yard pass from Mike Phipps (Don Cockroft kick),20,10
5,3.0,Browns,Ken Brown 20 yard rush (Don Cockroft kick),20,17
6,3.0,Bengals,Ken Anderson 19 yard rush (Horst Muhlmann kick),27,17
7,4.0,Bengals,Isaac Curtis 18 yard pass from Ken Anderson (Horst Muhlmann kick),34,17
8,4.0,Browns,Gloster Richardson 60 yard pass from Greg Pruitt (Don Cockroft kick),34,24
