,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,Bobby Howfield 30 yard field goal,0,3
1,2.0,Jets,Phil Wise 80 yard defensive fumble return (Bobby Howfield kick),0,10
2,2.0,Jets,Emerson Boozer 15 yard pass from Joe Namath (Bobby Howfield kick),0,17
3,4.0,Colts,George Hunt 17 yard field goal,3,17
4,4.0,Jets,Bobby Howfield 18 yard field goal,3,20
5,4.0,Colts,Glenn Doughty 54 yard pass from Cotton Speyrer (George Hunt kick),10,20
6,4.0,Colts,Lydell Mitchell 1 yard rush (George Hunt kick),17,20
