,Quarter,Time,Tm,Detail,JAX,SDG
0,1.0,11:42,Chargers,Mike Tolbert 2 yard rush (Nate Kaeding kick),0,7
1,1.0,5:29,Jaguars,Josh Scobee 44 yard field goal,3,7
2,2.0,11:32,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Nate Kaeding kick),3,14
3,2.0,1:55,Jaguars,Josh Scobee 48 yard field goal,6,14
4,2.0,0:10,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Nate Kaeding kick),6,21
5,3.0,4:55,Chargers,Nate Kaeding 41 yard field goal,6,24
6,4.0,13:18,Chargers,Mike Tolbert 1 yard rush (Nate Kaeding kick),6,31
7,4.0,8:06,Chargers,Malcom Floyd 54 yard pass from Philip Rivers (Nate Kaeding kick),6,38
8,4.0,0:37,Jaguars,Mike Sims-Walker 3 yard pass from David Garrard (Josh Scobee kick),13,38
