,Quarter,Tm,Detail,RAM,NOR
0,1.0,Rams,David Ray 48 yard field goal,3,0
1,2.0,Saints,Archie Manning 5 yard rush (Happy Feller kick),3,7
2,2.0,Rams,David Ray 31 yard field goal,6,7
3,3.0,Saints,Happy Feller 46 yard field goal,6,10
4,3.0,Rams,Jim Bertelsen 5 yard rush (David Ray kick),13,10
5,3.0,Saints,Bob Newland 23 yard pass from Archie Manning,13,16
6,4.0,Rams,David Ray 24 yard field goal,16,16
7,4.0,Saints,Happy Feller 33 yard field goal,16,19
