,Quarter,Time,Tm,Detail,WAS,DEN
0,2.0,11:03,Broncos,Jason Elam 33 yard field goal,0,3
1,2.0,3:19,Broncos,Rod Smith 1 yard pass from Brian Griese (Jason Elam kick),0,10
2,2.0,0:11,Redskins,Brett Conway 48 yard field goal,3,10
3,4.0,14:18,Redskins,Michael Westbrook 5 yard pass from Kent Graham (Brett Conway kick),10,10
4,4.0,2:48,Redskins,Zeron Flemister 3 yard pass from Kent Graham (Brett Conway kick),17,10
