,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,9:31,Giants,Ron Dayne 3 yard rush (Morten Andersen kick),7,0
1,2.0,7:40,Giants,Ike Hilliard 27 yard pass from Kerry Collins (Morten Andersen kick),14,0
2,2.0,4:38,Cardinals,David Boston 38 yard pass from Jake Plummer (Bill Gramatica kick),14,7
3,3.0,8:05,Cardinals,Bill Gramatica 32 yard field goal,14,10
4,4.0,11:39,Giants,Morten Andersen 25 yard field goal,17,10
