,Quarter,Tm,Detail,NWE,BUF
0,1.0,Bills,Scott Norwood 19 yard field goal,0,3
1,2.0,Bills,Scott Norwood 21 yard field goal,0,6
2,2.0,Patriots,Jason Staurovsky 36 yard field goal,3,6
3,3.0,Bills,Don Beebe 13 yard pass from Jim Kelly (Scott Norwood kick),3,13
4,3.0,Patriots,Leonard Russell 1 yard rush (Jason Staurovsky kick),10,13
5,4.0,Bills,Scott Norwood 42 yard field goal,10,16
6,4.0,Bills,Thurman Thomas 15 yard rush,10,22
7,4.0,Patriots,Leonard Russell 3 yard rush (Jason Staurovsky kick),17,22
