,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Lenny Moore 68 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,1.0,Lions,Jim Martin 47 yard field goal,7,3
2,2.0,Colts,Jim Mutscheller 39 yard pass from Johnny Unitas (Steve Myhra kick),14,3
3,2.0,Lions,Howard Cassady 14 yard pass from Tobin Rote (Wayne Walker kick),14,10
4,2.0,Lions,Howard Cassady 18 yard pass from Tobin Rote (Wayne Walker kick),14,17
5,3.0,Lions,Howard Cassady 4 yard pass from Tobin Rote (Wayne Walker kick),14,24
6,3.0,Colts,Andy Nelson 33 yard interception return (Steve Myhra kick),21,24
7,4.0,Colts,Steve Myhra 16 yard field goal,24,24
8,4.0,Colts,Raymond Berry 53 yard pass from Johnny Unitas (Steve Myhra kick),31,24
