,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Efren Herrera 37 yard field goal,0,3
1,1.0,Cowboys,Efren Herrera 46 yard field goal,0,6
2,2.0,Cowboys,Doug Dennison 3 yard rush (Efren Herrera kick),0,13
3,2.0,Cowboys,Drew Pearson 22 yard pass from Roger Staubach (Efren Herrera kick),0,20
4,3.0,Cowboys,Golden Richards 19 yard pass from Roger Staubach (Efren Herrera kick),0,27
5,4.0,Eagles,Tom Sullivan 20 yard pass from Mike Boryla (Horst Muhlmann kick),7,27
