,Quarter,Tm,Detail,NOR,PHI
0,2.0,Eagles,Roger Ruzek 38 yard field goal,0,3
1,2.0,Eagles,Roger Ruzek 41 yard field goal,0,6
2,2.0,Saints,Morten Andersen 36 yard field goal,3,6
3,3.0,Saints,Dalton Hilliard 14 yard pass from Steve Walsh (Morten Andersen kick),10,6
4,4.0,Saints,Morten Andersen 26 yard field goal,13,6
