,Quarter,Time,Tm,Detail,IND,KAN
0,1.0,,Colts,Marvin Harrison 3 yard pass from Jim Harbaugh (Cary Blanchard kick),7,0
1,1.0,,Colts,Marvin Harrison 37 yard pass from Jim Harbaugh (Cary Blanchard kick),14,0
2,2.0,,Chiefs,Kimble Anders 18 yard pass from Rich Gannon (Pete Stoyanovich kick),14,7
3,2.0,,Chiefs,Pete Stoyanovich 30 yard field goal,14,10
4,4.0,,Colts,Cary Blanchard 22 yard field goal,17,10
5,4.0,,Chiefs,Pete Stoyanovich 30 yard field goal,17,13
6,4.0,,Colts,Marvin Harrison 5 yard pass from Jim Harbaugh (Cary Blanchard kick),24,13
7,4.0,,Chiefs,Kimble Anders 5 yard pass from Steve Bono (run failed),24,19
