,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Tom Rathman 3 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,Giants,Rodney Hampton 11 yard rush (Matt Bahr kick),7,7
2,2.0,49ers,Mike Cofer 36 yard field goal,10,7
3,2.0,49ers,Tom Rathman 15 yard pass from Steve Bono (Mike Cofer kick),17,7
4,3.0,Giants,Rodney Hampton 3 yard rush (Matt Bahr kick),17,14
5,3.0,49ers,Tom Rathman 4 yard pass from Steve Bono (Mike Cofer kick),24,14
6,4.0,49ers,John Johnson 56 yard interception return (Mike Cofer kick),31,14
