,Quarter,Time,Tm,Detail,PIT,ATL
0,1.0,,Steelers,Norm Johnson 27 yard field goal,3,0
1,1.0,,Falcons,Robbie Tobeck 1 yard pass from Bobby Hebert (Morten Andersen kick),3,7
2,2.0,,Falcons,Morten Andersen 41 yard field goal,3,10
3,3.0,,Steelers,Andre Hastings 12 yard pass from Mike Tomczak (Norm Johnson kick),10,10
4,3.0,,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),17,10
5,4.0,,Falcons,Bert Emanuel 4 yard pass from Bobby Hebert (Morten Andersen kick),17,17
6,4.0,,Steelers,Norm Johnson 20 yard field goal,20,17
