,Quarter,Tm,Detail,DEN,SEA
0,1.0,Broncos,John Elway 1 yard rush (Rich Karlis kick),7,0
1,1.0,Broncos,Rich Karlis 34 yard field goal,10,0
2,2.0,Seahawks,Dan Doornink 4 yard pass from Dave Krieg (Norm Johnson kick),10,7
3,3.0,Broncos,James Wright 14 yard pass from John Elway (Rich Karlis kick),17,7
4,3.0,Broncos,Steve Foley 40 yard interception return (Rich Karlis kick),24,7
5,3.0,Seahawks,Charle Young 14 yard pass from Dave Krieg (Norm Johnson kick),24,14
6,4.0,Broncos,Rick Parros 4 yard rush (Rich Karlis kick),31,14
