,Quarter,Tm,Detail,PHI,ATL
0,1.0,Eagles,Harold Carmichael 13 yard pass from Ron Jaworski,6,0
1,3.0,Eagles,Wilbert Montgomery 1 yard rush (Mike Michel kick),13,0
2,4.0,Falcons,Jim Mitchell 20 yard pass from Steve Bartkowski (Tim Mazzetti kick),13,7
3,4.0,Falcons,Wallace Francis 37 yard pass from Steve Bartkowski (Tim Mazzetti kick),13,14
