,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Chester Marcol 27 yard field goal,0,3
1,1.0,49ers,Gene Washington 9 yard pass from Jim Plunkett (Ray Wersching kick),7,3
2,1.0,Packers,Rich McGeorge 9 yard pass from David Whitehurst,7,9
3,2.0,Packers,Willie Buchanon 29 yard interception return (Chester Marcol kick),7,16
4,2.0,49ers,Wilbur Jackson 29 yard rush (Ray Wersching kick),14,16
