,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,,Redskins,Desmond Howard 13 yard pass from Gus Frerotte (Chip Lohmiller kick),0,7
1,2.0,,Redskins,Ethan Horton 15 yard pass from Gus Frerotte (Chip Lohmiller kick),0,14
2,2.0,,Eagles,Herschel Walker 11 yard pass from Randall Cunningham (Eddie Murray kick),7,14
3,2.0,,Redskins,Chip Lohmiller 54 yard field goal,7,17
4,3.0,,Eagles,Greg Jackson 55 yard interception return (Eddie Murray kick),14,17
5,3.0,,Redskins,Chip Lohmiller 23 yard field goal,14,20
6,4.0,13:23,Eagles,Herschel Walker 1 yard rush (Eddie Murray kick),21,20
7,4.0,13:23,Eagles,Vaughn Hebron 6 yard rush (Eddie Murray kick),28,20
8,4.0,13:23,Redskins,James Jenkins 1 yard pass from Gus Frerotte (run failed),28,26
9,4.0,13:23,Redskins,Chip Lohmiller 40 yard field goal,28,29
10,4.0,13:23,Eagles,Eddie Murray 30 yard field goal,31,29
