,Quarter,Time,Tm,Detail,OAK,NYJ
0,1.0,,Raiders,James Jett 56 yard pass from Jeff George,6,0
1,1.0,,Jets,John Hall 34 yard field goal,6,3
2,2.0,,Raiders,Tim Brown 29 yard pass from Jeff George (pass failed),12,3
3,2.0,,Jets,Adrian Murrell 4 yard rush (John Hall kick),12,10
4,2.0,,Raiders,James Jett 11 yard pass from Jeff George (Cole Ford kick),19,10
5,2.0,,Raiders,Cole Ford 43 yard field goal,22,10
6,3.0,,Jets,John Hall 47 yard field goal,22,13
7,3.0,,Jets,John Hall 26 yard field goal,22,16
8,4.0,0:55,Jets,Ray Mickens 72 yard blocked field goal return (John Hall kick),22,23
