,Quarter,Tm,Detail,NOR,SFO
0,1,Saints,Ike Harris 33 yard pass from Archie Manning (Benny Ricardo kick),7,0
1,1,Saints,Henry Childs 21 yard pass from Archie Manning (Benny Ricardo kick),14,0
2,2,Saints,Jack Holmes 1 yard rush (Benny Ricardo kick),21,0
3,2,49ers,Freddie Solomon 57 yard punt return (Ray Wersching kick),21,7
4,2,Saints,Jack Holmes 1 yard rush (Benny Ricardo kick),28,7
5,2,Saints,Ike Harris 41 yard pass from Archie Manning (Benny Ricardo kick),35,7
6,3,49ers,Joe Montana 1 yard rush (Ray Wersching kick),35,14
7,3,49ers,Dwight Clark 71 yard pass from Joe Montana (Ray Wersching kick),35,21
8,4,49ers,Freddie Solomon 14 yard pass from Joe Montana (Ray Wersching kick),35,28
9,4,49ers,Lenvil Elliott 7 yard rush (Ray Wersching kick),35,35
10,OT,49ers,Ray Wersching 36 yard field goal,35,38
