,Quarter,Tm,Detail,PHI,CHI
0,1,Eagles,Paul McFadden 49 yard field goal,3,0
1,3,Bears,Walter Payton 1 yard rush (Kevin Butler kick),3,7
2,3,Bears,Kevin Butler 23 yard field goal,3,10
3,4,Eagles,Mike Quick 26 yard pass from Ron Jaworski (Paul McFadden kick),10,10
4,OT,Bears,Kevin Butler 23 yard field goal,10,13
