,Quarter,Tm,Detail,KAN,GNB
0,1.0,Chiefs,Morris Stroud 8 yard pass from Len Dawson (Jan Stenerud kick),7,0
1,2.0,Packers,Chester Marcol 46 yard field goal,7,3
2,2.0,Packers,Jon Staggers 26 yard pass from Jim Del Gaizo (Chester Marcol kick),7,10
3,4.0,Chiefs,Jan Stenerud 36 yard field goal,10,10
