,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Lenny Moore 18 yard rush (Lou Michaels kick),7,0
1,3.0,Colts,Jerry Hill 17 yard rush (Lou Michaels kick),14,0
2,4.0,Rams,Bucky Pope 21 yard pass from Bill Munson (Bruce Gossett kick),14,7
3,4.0,Colts,Lou Michaels 23 yard field goal,17,7
4,4.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),24,7
