,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Earl Gros 1 yard rush (Sam Baker kick),7,0
1,1.0,Giants,Aaron Thomas 71 yard pass from Earl Morrall (Andy Stynchula kick),7,7
2,2.0,Giants,Joe Morrison 46 yard pass from Earl Morrall (Andy Stynchula kick),7,14
3,2.0,Giants,Homer Jones 89 yard pass from Earl Morrall (Andy Stynchula kick),7,21
4,2.0,Giants,Jerry Hillebrand 25 yard interception return (Andy Stynchula kick),7,28
5,3.0,Giants,Bobby Crespino 2 yard pass from Earl Morrall (Andy Stynchula kick),7,35
6,3.0,Eagles,Timmy Brown 45 yard pass from King Hill,13,35
7,3.0,Eagles,Pete Retzlaff 9 yard pass from King Hill (Sam Baker kick),20,35
8,4.0,Eagles,Timmy Brown 24 yard pass from King Hill (Sam Baker kick),27,35
