,Quarter,Time,Tm,Detail,NWE,DET
0,1.0,13:17,Lions,Jason Hanson 31 yard field goal,0,3
1,1.0,5:41,Patriots,Adam Vinatieri 24 yard field goal,3,3
2,1.0,1:23,Patriots,Adam Vinatieri 47 yard field goal,6,3
3,2.0,12:48,Lions,Jason Hanson 36 yard field goal,6,6
4,3.0,8:51,Patriots,Adam Vinatieri 43 yard field goal,9,6
5,3.0,3:45,Lions,David Sloan 1 yard pass from Charlie Batch (Jason Hanson kick),9,13
6,4.0,11:18,Lions,James Stewart 1 yard rush (Jason Hanson kick),9,20
7,4.0,8:55,Lions,Charlie Batch 10 yard rush (Jason Hanson kick),9,27
8,4.0,4:13,Lions,Bryant Westbrook 101 yard interception return (Jason Hanson kick),9,34
