,Quarter,Time,Tm,Detail,NOR,DAL
0,1.0,7:50,Cowboys,Terrance Williams 6 yard pass from Tony Romo (Dan Bailey kick),0,7
1,2.0,5:38,Cowboys,Dan Bailey 51 yard field goal,0,10
2,2.0,4:03,Cowboys,DeMarco Murray 15 yard rush (Dan Bailey kick),0,17
3,2.0,0:19,Cowboys,Terrance Williams 23 yard pass from Tony Romo (Dan Bailey kick),0,24
4,3.0,11:10,Saints,Shayne Graham 30 yard field goal,3,24
5,3.0,6:42,Cowboys,DeMarco Murray 28 yard rush (Dan Bailey kick),3,31
6,4.0,13:35,Saints,Josh Hill 12 yard pass from Drew Brees (Shayne Graham kick),10,31
7,4.0,9:49,Saints,Jimmy Graham 13 yard pass from Drew Brees (Shayne Graham kick),17,31
8,4.0,3:34,Cowboys,Dez Bryant 18 yard pass from Tony Romo (Dan Bailey kick),17,38
