,Quarter,Tm,Detail,BKN,CHI
0,1.0,Bears,Beattie Feathers 19 yard rush (Jack Manders kick),0,7
1,1.0,Bears,Keith Molesworth 4 yard rush (Jack Manders kick),0,14
2,1.0,Bears,Luke Johnsos 21 yard pass from Keith Molesworth (Gene Ronzani kick),0,21
3,1.0,Dodgers,Red Franklin 62 yard rush (Ralph Kercheval kick),7,21
4,1.0,Bears,Jack Manders 12 yard field goal,7,24
5,1.0,Dodgers,Ralph Kercheval 14 yard pass from Wilbur White (Ralph Kercheval kick),14,24
