,Quarter,Time,Tm,Detail,WAS,SEA
0,1.0,7:11,Redskins,Fred Davis 2 yard pass from Rex Grossman (Graham Gano kick),7,0
1,2.0,11:01,Seahawks,Marshawn Lynch 20 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,7
2,3.0,5:58,Seahawks,Stephen Hauschka 36 yard field goal,7,10
3,4.0,12:45,Seahawks,Golden Tate 15 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,17
4,4.0,9:51,Redskins,Roy Helu 28 yard rush (Graham Gano kick),14,17
5,4.0,6:18,Redskins,Anthony Armstrong 50 yard pass from Rex Grossman (Graham Gano kick failed),20,17
6,4.0,1:06,Redskins,Graham Gano 25 yard field goal,23,17
