,Quarter,Tm,Detail,MIN,BUF
0,1.0,Bills,Scott Norwood 27 yard field goal,0,3
1,1.0,Bills,Thurman Thomas 5 yard rush (Scott Norwood kick),0,10
2,2.0,Vikings,Chuck Nelson 30 yard field goal,3,10
3,4.0,Bills,Scott Norwood 26 yard field goal,3,13
4,4.0,Vikings,Allen Rice 2 yard rush (Chuck Nelson kick),10,13
