,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Leonard Thompson 19 yard pass from Gary Danielson (Eddie Murray kick),7,0
1,2.0,Buccaneers,Bill Capece 34 yard field goal,7,3
2,2.0,Lions,David Hill 7 yard pass from Gary Danielson (Eddie Murray kick),14,3
3,2.0,Buccaneers,Bill Capece 29 yard field goal,14,6
4,3.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),21,6
5,3.0,Buccaneers,Doug Williams 3 yard rush (Bill Capece kick),21,13
6,4.0,Buccaneers,James Owens 2 yard pass from Doug Williams (Bill Capece kick),21,20
7,4.0,Buccaneers,Bill Capece 27 yard field goal,21,23
