,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Walter Roberts 91 yard kickoff return (Charlie Durkee kick),0,7
1,2.0,Saints,Walter Roberts 27 yard offensive fumble return (Charlie Durkee kick),0,14
2,2.0,Eagles,Sam Baker 41 yard field goal,3,14
3,2.0,Eagles,Jim Kelly 22 yard pass from Norm Snead (Sam Baker kick),10,14
4,3.0,Saints,Charlie Durkee 12 yard field goal,10,17
5,3.0,Saints,Dave Whitsell 41 yard interception return (Charlie Durkee kick),10,24
6,4.0,Eagles,Gary Ballman 14 yard pass from Norm Snead (Sam Baker kick),17,24
7,4.0,Saints,Walter Roberts 49 yard pass from Gary Cuozzo (Charlie Durkee kick),17,31
8,4.0,Eagles,Timmy Brown 33 yard pass from Norm Snead (Sam Baker kick),24,31
