,Quarter,Tm,Detail,BUF,KAN
0,1.0,Bills,Bruce Alford 16 yard field goal,3,0
1,1.0,Chiefs,Robert Holmes 3 yard rush (Jan Stenerud kick),3,7
2,2.0,Chiefs,Jan Stenerud 52 yard field goal,3,10
3,2.0,Chiefs,Jan Stenerud 8 yard field goal,3,13
4,3.0,Bills,Bruce Alford 34 yard field goal,6,13
5,3.0,Chiefs,Jan Stenerud 47 yard field goal,6,16
6,3.0,Bills,Marlin Briscoe 17 yard pass from Jack Kemp (Bruce Alford kick),13,16
7,4.0,Chiefs,Jan Stenerud 20 yard field goal,13,19
8,4.0,Bills,O.J. Simpson 32 yard rush (pass failed),19,19
9,4.0,Chiefs,Jan Stenerud 25 yard field goal,19,22
