,Quarter,Tm,Detail,OAK,DEN
0,1.0,Broncos,Jim Turner 43 yard field goal,0,3
1,1.0,Raiders,George Blanda 38 yard field goal,3,3
2,2.0,Broncos,Jim Turner 10 yard field goal,3,6
3,2.0,Broncos,Jim Turner 24 yard field goal,3,9
4,2.0,Raiders,George Blanda 24 yard field goal,6,9
5,3.0,Raiders,Ken Stabler 2 yard rush (George Blanda kick),13,9
6,3.0,Raiders,Raymond Chester 9 yard pass from Ken Stabler (George Blanda kick),20,9
7,4.0,Raiders,Jimmy Warren 55 yard interception return (George Blanda kick),27,9
8,4.0,Broncos,Dickie Post 13 yard pass from Steve Ramsey (Jim Turner kick),27,16
