,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Mac Percival 35 yard field goal,0,3
1,2.0,Colts,Lou Michaels 47 yard field goal,3,3
2,3.0,Colts,John Mackey 34 yard pass from Johnny Unitas (Lou Michaels kick),10,3
3,4.0,Colts,Rick Volk 94 yard interception return (Lou Michaels kick),17,3
4,4.0,Colts,Ordell Braase 9 yard defensive fumble return (Lou Michaels kick),24,3
