,Quarter,Tm,Detail,NYJ,BAL
0,2.0,Jets,Pat Leahy 31 yard field goal,3,0
1,2.0,Colts,Raul Allegre 26 yard field goal,3,3
2,2.0,Jets,Freeman McNeil 8 yard pass from Richard Todd (Pat Leahy kick),10,3
3,3.0,Colts,Raul Allegre 41 yard field goal,10,6
