,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Anthony Carter 40 yard pass from Tommy Kramer (Chuck Nelson kick),7,0
1,2.0,Packers,Paul Ott Carruth 1 yard rush (Max Zendejas kick),7,7
2,3.0,Packers,Max Zendejas 47 yard field goal,7,10
3,4.0,Vikings,Chuck Nelson 34 yard field goal,10,10
4,4.0,Packers,Kenneth Davis 7 yard rush,10,16
