,Quarter,Time,Tm,Detail,DEN,BUF
0,1.0,1:15,Bills,Stephen Hauschka 39 yard field goal,0,3
1,2.0,8:12,Bills,Stephen Hauschka 23 yard field goal,0,6
2,3.0,13:02,Bills,Cole Beasley 18 yard pass from Josh Allen (Stephen Hauschka kick),0,13
3,3.0,7:45,Broncos,Brandon McManus 45 yard field goal,3,13
4,4.0,11:14,Bills,John Brown 34 yard pass from Josh Allen (Stephen Hauschka kick),3,20
