,Quarter,Tm,Detail,WAS,SFO
0,1.0,Redskins,Jerry Smith 5 yard pass from Billy Kilmer (Curt Knight kick),7,0
1,2.0,49ers,Bruce Gossett 23 yard field goal,7,3
2,2.0,Redskins,Curt Knight 40 yard field goal,10,3
3,3.0,49ers,Gene Washington 78 yard pass from John Brodie (Bruce Gossett kick),10,10
4,3.0,49ers,Bob Windsor 2 yard pass from John Brodie (Bruce Gossett kick),10,17
5,3.0,Redskins,Curt Knight 36 yard field goal,13,17
6,4.0,49ers,Bob Hoskins special teams fumble recovery in end zone (Bruce Gossett kick),13,24
7,4.0,Redskins,Larry Brown 16 yard pass from Billy Kilmer (Curt Knight kick),20,24
