,Quarter,Tm,Detail,KAN,OAK
0,1,Raiders,Charlie Smith 3 yard rush (George Blanda kick),0,7
1,2,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),7,7
2,3,Chiefs,Robert Holmes 5 yard rush (Jan Stenerud kick),14,7
3,4,Chiefs,Jan Stenerud 22 yard field goal,17,7
