,Quarter,Tm,Detail,NWE,PHI
0,1.0,Patriots,Darryl Stingley 16 yard pass from Jim Plunkett (Jeff White kick),7,0
1,2.0,Patriots,Jeff White 33 yard field goal,10,0
2,3.0,Patriots,Darryl Stingley 14 yard pass from Jim Plunkett (Jeff White kick),17,0
3,3.0,Eagles,Charle Young 20 yard pass from Roman Gabriel (Tom Dempsey kick),17,7
4,3.0,Eagles,Charle Young 7 yard pass from Roman Gabriel (Tom Dempsey kick),17,14
5,3.0,Eagles,Will Wynn 24 yard special teams fumble return (Tom Dempsey kick),17,21
6,4.0,Patriots,Sam Cunningham 4 yard rush,23,21
7,4.0,Eagles,Tom Dempsey 12 yard field goal,23,24
