,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Matt Bahr 31 yard field goal,3,0
1,2.0,Browns,Derek Tennell 2 yard pass from Bernie Kosar,9,0
2,2.0,Steelers,Gary Anderson 39 yard field goal,9,3
3,3.0,Browns,Matt Bahr 30 yard field goal,12,3
4,4.0,Steelers,Gary Anderson 27 yard field goal,12,6
5,4.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),19,6
6,4.0,Steelers,Cornell Gowdy 45 yard interception return (Gary Anderson kick),19,13
