,Quarter,Time,Tm,Detail,BUF,GNB
0,1.0,11:49,Packers,Mason Crosby 44 yard field goal,0,3
1,1.0,7:35,Packers,Mason Crosby 24 yard field goal,0,6
2,1.0,0:11,Packers,Brandon Jackson 1 yard rush (Mason Crosby kick),0,13
3,2.0,10:49,Bills,Fred Jackson 3 yard rush (Rian Lindell kick),7,13
4,3.0,8:32,Packers,Donald Driver 7 yard pass from Aaron Rodgers (Mason Crosby kick),7,20
5,3.0,1:56,Packers,Aaron Rodgers 9 yard rush (Mason Crosby kick),7,27
6,4.0,11:41,Packers,James Jones 30 yard pass from Aaron Rodgers (Mason Crosby kick),7,34
