,Quarter,Tm,Detail,KAN,PIT
0,1.0,Chiefs,Jan Stenerud 32 yard field goal,3,0
1,2.0,Chiefs,Billy Cannon 20 yard pass from Len Dawson (Jan Stenerud kick),10,0
2,3.0,Steelers,John Fuqua 2 yard rush (Gene Mingo kick),10,7
3,3.0,Chiefs,Billy Cannon 8 yard pass from Len Dawson (Jan Stenerud kick),17,7
4,4.0,Chiefs,Otis Taylor 42 yard pass from Len Dawson (Jan Stenerud kick),24,7
5,4.0,Steelers,Jon Staggers 7 yard pass from Terry Bradshaw (Gene Mingo kick),24,14
6,4.0,Chiefs,Robert Holmes 2 yard rush (Jan Stenerud kick),31,14
